1, 0, 0, 0, 
2, 167, 241, 120, 
3, 333, 482, 241, 
4, 500, 722, 361, 
5, 667, 960, 480, 
6, 833, 1195, 597, 
7, 1000, 1427, 713, 
8, 1167, 1655, 827, 
9, 1333, 1879, 939, 
10, 1500, 2097, 1048, 
11, 1667, 2310, 1155, 
12, 1833, 2516, 1258, 
13, 2000, 2715, 1357, 
14, 2167, 2907, 1453, 
15, 2333, 3091, 1545, 
16, 2500, 3266, 1633, 
17, 2667, 3433, 1716, 
18, 2833, 3590, 1795, 
19, 3000, 3737, 1868, 
20, 3167, 3874, 1937, 
21, 3333, 4001, 2000, 
22, 3500, 4116, 2058, 
23, 3667, 4220, 2110, 
24, 3833, 4313, 2156, 
25, 4000, 4394, 2197, 
26, 4167, 4462, 2231, 
27, 4333, 4519, 2259, 
28, 4500, 4563, 2281, 
29, 4667, 4594, 2297, 
30, 4833, 4613, 2306, 
31, 5000, 4620, 2310, 
32, 5167, 4613, 2306, 
33, 5333, 4594, 2297, 
34, 5500, 4563, 2281, 
35, 5667, 4519, 2259, 
36, 5833, 4462, 2231, 
37, 6000, 4394, 2197, 
38, 6167, 4313, 2156, 
39, 6333, 4220, 2110, 
40, 6500, 4116, 2058, 
41, 6667, 4001, 2000, 
42, 6833, 3874, 1937, 
43, 7000, 3737, 1868, 
44, 7167, 3590, 1795, 
45, 7333, 3433, 1716, 
46, 7500, 3266, 1633, 
47, 7667, 3091, 1545, 
48, 7833, 2907, 1453, 
49, 8000, 2715, 1357, 
50, 8167, 2516, 1258, 
51, 8333, 2310, 1155, 
52, 8500, 2097, 1048, 
53, 8667, 1879, 939, 
54, 8833, 1655, 827, 
55, 9000, 1427, 713, 
56, 9167, 1195, 597, 
57, 9333, 960, 480, 
58, 9500, 722, 361, 
59, 9667, 482, 241, 
60, 9833, 241, 120, 
61, 10000, 0, 0, 
62, 10167, -241, -120, 
63, 10333, -482, -241, 
64, 10500, -722, -361, 
65, 10667, -960, -480, 
66, 10833, -1195, -597, 
67, 11000, -1427, -713, 
68, 11167, -1655, -827, 
69, 11333, -1879, -939, 
70, 11500, -2097, -1048, 
71, 11667, -2310, -1155, 
72, 11833, -2516, -1258, 
73, 12000, -2715, -1357, 
74, 12167, -2907, -1453, 
75, 12333, -3091, -1545, 
